Year,Smoke_estimate,Mean_GIS_Acres,Mean_Distance
1963,29.33002769,692.5235407,460.3645453
1964,83.38519634,1228.500535,449.2459778
1965,29.38930054,751.9603423,392.1742023
1966,110.4926355,1703.514155,417.1986271
1967,71.17722906,1138.977416,376.2756177
1968,82.64087522,829.3690658,329.4569347
1969,52.39273654,636.8386191,354.5504035
1970,158.3649251,1803.417603,446.2319215
1971,59.56378245,1538.743198,464.962577
1972,36.30372986,836.7074484,378.9925731
1973,75.09977214,1393.539904,402.8691676
1974,47.15798213,712.3819607,395.8634601
1975,100.2333969,857.7179849,350.5586007
1976,48.92304636,1047.048206,376.2840065
1977,103.4666037,1192.266323,393.5123254
1978,25.81051403,391.4977153,409.1961234
1979,86.18827279,1079.002626,380.5084131
1980,62.14051216,895.1728572,426.5409492
1981,61.73156262,1330.339717,424.495357
1982,41.90642008,676.763958,457.0935085
1983,50.46496529,1175.340815,457.4057497
1984,86.650552,1329.306783,446.9979224
1985,117.4654064,2032.960858,479.7410862
1986,57.52613084,1301.150353,483.5905742
1987,68.53303184,1220.188432,531.4323068
1988,80.74131354,2627.012278,534.2397059
1989,35.85077336,1004.511936,529.3210124
1990,59.10564851,1098.873761,486.7733864
1991,24.58487533,906.8074902,552.2207763
1992,52.4811572,1361.892367,468.9545293
1993,84.99914551,1488.27045,456.8961434
1994,81.78883654,2275.535514,553.4119981
1995,75.9724479,1555.40026,449.2517474
1996,156.3268768,3511.811795,487.6788207
1997,65.6267785,841.8461421,433.4321806
1998,45.58442689,1303.470873,518.8668059
1999,135.2751025,2838.260908,477.1385399
2000,102.323149,2954.501966,597.3792443
2001,58.22875384,1566.419333,502.9729581
2002,159.9066212,2737.413307,522.5780199
2003,92.20988891,2116.007855,534.7521559
2004,45.97752187,951.035824,468.6598928
2005,99.72296639,2197.018983,476.899556
2006,104.0238051,2844.731769,535.9522983
2007,123.1294239,3090.747764,543.30632
2008,75.44127963,1829.615901,570.6087203
2009,48.5382249,1229.45809,564.7735232
2010,35.45427152,966.4013685,572.368351
2011,83.32489242,2897.049272,639.1951345
2012,105.5830263,3378.668091,579.758433
2013,64.20340397,1469.960096,532.1878997
2014,50.34843577,2064.062862,615.9643504
2015,89.48470578,2246.644818,633.0181805
2016,73.90860823,2053.977456,623.1569285
2017,136.4233525,3088.494101,555.7975369
2018,98.09936291,2690.521096,570.1809838
2019,31.25552987,865.2341384,525.8014261
2020,173.5329337,2553.348649,550.0703813
